Relevamiento disposición final Residuos Generales 2016;;;;;;Aperturas 2017;;;;;Formato;Toneladas;;;;
;;;;;;Cierres 2017/2018;;;;;Express;0;;;;
;;;;;Estimado;;;;;;Hiper;13 384;;;;
;;;;;;;;;;;Market;6 749;;;;
;;;;;;;;;;;Maxi;924;;;;
;;;;;;;;;;;Total general;21 057;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Local;Tienda;Formato;Región;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;déc-16;Total
320;320-Proxi Sucre 2490;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
321;321-Proxi Cangallo 33;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
322;322-Proxi Del Carril 3210;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
323;323-Proxi Montes De Oca 304;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
324;324-Proxi Directorio 1766;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
325;325-Proxi Vidal 2355;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
326;326-Proxi Jonte 4872;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
327;327-Proxi Las Heras 2643;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
328;328-Proxi Godoy Cruz 2793;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
329;329-Proxi Lavalle 1747;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
330;330-Proxi Fitz Roy 2470;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
331;331-Proxi Charcas 3171;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
332;332-Proxi Billinghurst 1380;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
334;334-Proxi Paraguay 521;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
335;335-Proxi Cuba 2776;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
336;336-Proxi Charcas 3315;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
337;337-Proxi Lacroze 2566;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
338;338-Proxi Tucuman 831;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
339;339-Proxi Los Incas 4466;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
340;340 - Proxi Ortega y Gasset 1876;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
341;341-Proxi Viamonte 352;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
343;343-Proxi Amenabar 1187;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
344;344-Proxi Marcelo T. Alvear 2251;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
345;345-Proxi Pueyrredon 672;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
346;346-Proxi Suarez 1599;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
347;347-Proxi Pacheco de Melo 2648;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
348;348-Proxi Rivadavia 3421;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
349;349-Proxi Av Cabildo 34;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
350;350-Proxi Humboldt 1962;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
351;351-Proxi Echeverría 2067;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
352;352-Proxi Rodriguez Peña 1183;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
353;353-Proxi Talcahuano 467;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
354;354-Proxi Parana 1053;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
355;355-Proxi Pueyrredon 1054;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
356;356-Proxi Callao 1289;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
357;357-Proxi Sarmiento 1592;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
359;359-Proxi Av de Mayo 1446;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
360;360-Proxi Los Incas 5174;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
361;361-Proxi Moldes 1718;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
362;362-Proxi Directorio 1069;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
363;363-Proxi Independencia 1833;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
364;364-Proxi Ciudad de la Paz 353;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
365;365-Proxi Nazca 1944;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
367;367-Proxi Estado de Israel 4309;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
368;368-Proxi Cuba 2919;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
369;369-Proxi Caseros 2864;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
370;370-Proxi Juan B. Alberdi 371;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
371;371-Proxi Olazabal 5483;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
372;372-Proxi Av. San Martín 2494;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
373;373-Proxi 11 de Septiembre 3910;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
374;374-Proxi Av. Rómulo Naon 2401;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
375;375-Proxi Esmerlda 428;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
376;376-Proxi Jonte 3709;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
378;378-Proxi Billinghurst 1872-6;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
379;379-Proxi Maipu 26;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
380;380-Proxi Otamendi 454;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
381;381- Super Recoleta 2;Market;CAP. FED.;3;3;3;3;3;3;2;2;2;4;5;5;38
383;383-Venta Directa;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
384;384- Super Villa Crespo;Market;CAP. FED.;3;3;3;3;3;3;3;2;3;3;2;5;37
385;385- Super San Telmo;Market;CAP. FED.;3;3;3;3;3;3;3;3;3;3;4;0;35
386;386- Super Monserrat;Market;CAP. FED.;4;4;4;4;4;4;4;3;4;4;5;6;49
387;387- Super Nuñez 2;Market;CAP. FED.;3;3;3;3;3;3;3;2;2;2;3;5;35
388;388- Super Adrogué;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
389;389-Super Carranza;Market;CAP. FED.;4;4;4;4;4;4;3;3;3;3;4;6;45
390;390-Super Caballito;Market;CAP. FED.;2;2;2;2;2;2;2;2;2;2;3;3;25
391;391-Proxi Cabildo 2865;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
392;392-Proxi J. L. Borges 2463-65;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
394;394-Proxi Santa Fe 4489-91;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
395;395-Proxi Federico Lacroze 4106;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
396;396-Proxi San Martin 2289;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
397;397-Proxi Corrientes 5980;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
398;398-Proxi Av. Rivadavia 9436;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
400;400-Proxi Centenera 177;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
402;402-Proxi Av. Corrientes 1974;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
403;403-Proxi Av Santa Fe 5052;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
404;404-Proxi Medrano 686;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
405;405-Proxi J. B. Alberdi 5719-23;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
406;406-Proxi Salta 1637-39;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
408;408-Proxi Peru 916;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
409;409-Proxi Gaona 3567;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
410;410-Proxi Tucumán 2173;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
411;411-Proxi Av. E. Peron 3479;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
412;412-Proxi Av. Caseros 3535;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
413;413-Proxi Venezuela 4086;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
414;414-Proxi Av. San Juan 3900;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
415;415-Proxi Av. San Juan 4351;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
416;416-Proxi Av. Almafuerte 880;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
417;417-Proxi F. Cayetano 464;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
418;418-Proxi Carlos Calvo 1826;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
419;419-Proxi Olavarria 469;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
420;420-Proxi Av. Gaona 1384;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
421;421-Proxi Av. Belgrano 3447;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
422;422-Proxi Murature 2169 (V.Fiorito);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
423;423-Proxi Av. Castañares 4854;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
424;424-Proxi Mitre 226 (Lujan);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
425;425-J.M. de Rosas 2533 (J.L.S.);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
426;426-Proxi Montañeses 2067;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
427;427 - Proxi Rivadavia 16051 (Haedo);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
428;428-Proxi Rosario Nº4558(Sordeaux);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
429;429-Proxi Indep. 4731 (V.Ballester);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
430;430-Proxi carrillo 2170 (S.Martin);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
431;431-Proxi Av.Peron 3283 (Victoria);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
433;433-Proxi Madero 1050 -R26 (D.Viso);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
435;435-Proxi Ruta 26 162 (Savio);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
436;436-Proxi Parana  6543 (V. Adelina);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
437;437-Proxi Centenario 1890 (Beccar);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
438;438-Proxi 25 Mayo 2650(Polvorines);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
439;439-Proxi G. Arias 2420 (Castelar);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
440;440-Proxi Av. Cazon 1336 (Tigre);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
441;441-Proxi V. Sarfield 4690 (Munro);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
442;442-Proxi Sarmiento 837 (Moron);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
443;443-Proxi Los Tilos 711 (Don Bosco);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
444;444-Proxi Belgrano 6498(Varela);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
445;445-Proxi Av.Arana 231 (V. Elisa);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
446;446-Proxi E. Peron 4461(M.Chingolo);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
447;447-Proxi D`Elia 1649(V Industrial);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
448;448-Proxi C.Pellegrini 844(Burzaco);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
449;449 - Proxi Sallares 151 (F.Varela);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
450;450-Proxi Bolivar 1343 (Longchamps);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
451;451-Proxi Guatambu 12 (Guatambu);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
452;452-Proxi Centenario 5331(Ezpeleta);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
453;453-Proxi M. Rodriguez 1399 (Lanus);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
454;454-Proxi Mitre 573 (Quilmes 2);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
455;455-Proxi Av. Yrigoyen 2323 (Gerli);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
456;456-Proxi San Martin 3960(Diamante);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
457;457-Proxi Sarmiento y Moreno(Glew);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
458;458-Proxi C. de Alas 2146(Budge);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
459;459-Proxi Gral Belgrano 4861(Lanus);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
460;460-Proxi Eva Perón 3330 (Lanus E);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
461;461-Proxi Salta 160 (San Jose);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
462;462-Proxi 12 Octubre 520 (Quilmes);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
463;463-Proxi J.D Peron 2640 (V.Alsina);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
464;464-Proxi Av. Peron 5492 (La Noria);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
465;465-Proxi Av. Mitre 6328 (Wilde);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
466;466-Proxi 29 Septiembre 1880(Lanus);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
467;467-Proxi B.A.Alcorta 2854 (Moreno);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
468;468-Proxi J.M Rosas 6956(Casanova);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
469;469-Proxi Fraga 1629 (San Miguel);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
470;470-Proxi El Payadir 5550 (V.Bosch);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
471;471-Proxi Av. Luque 6101(Laferrere);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
472;472-Proxi Jauretche1125(Hurlingham);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
473;473-Proxi 9 de Julio 46 (R. Mejia2);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
474;474-Proxi Echeverri  943 (Matera);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
475;475-Proxi Av.de Mayo 1832 (R.Mejia);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
476;476-Proxi Chilavert 1912(Chilavert);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
477;477-Proxi E. Perez 4566 (G. Catan);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
478;478 - Proxi Misiones 6572 (Palomar);Express;GRAN BS. AS.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
