Code_Magasin|Magasin|DATE|Rayon|Code Rayon|Famille|Code_Famille|Sous Famille|Code Sous Famille|Code EAN|Libellé Article|CodeDémarque|Libellé Démarque|Poids en kg|Descr Poids en kg|Montant Démarque|Qte Démarque
10062|062 - Champagnat|201603|CARNICERIA|01   2   4|OTRAS MARCAS|01   2   4  05  01|FRESCO|01   2   4  05  01  00|2303195000007|CHULETAS DE PALETA DE CERDO|Vencimiento|VTO|1000.00|GRM|-101.38|-1.76
10062|062 - Champagnat|201603|SECO|01   1   4|CRACKERS|01   1   4  01  00|TOSTADAS|01   1   4  01  00  07|7790040107311|TOSTADAS CLASICAS SER X 200 GRS.|Roturas|ROT|200.00|GRM|-19.46|-1.00
10062|062 - Champagnat|201603|BEBIDAS|01   1   0|JUGOS NATURALES|01   1   0  01  01|NARANJA NATURALES|01   1   0  01  01  00|7790017405006|JUGO NATURAL NARANJA TROPICANA X 1 LT|Roturas|ROT|1000.00|CM3|-40.08|-3.00
10062|062 - Champagnat|201603|FIAMBRERIA|01   2   0|FIAMBRES Y QUESOS FETEADOS|01   2   0  01  00|JAMON COCIDO|01   2   0  01  00  03|7790079016103|JAMON COCIDO FETEADO PALADINI X 200 GRS|Vencimiento|VTO|200.00|GRM|-51.90|-2.00
10167|167 - Jujuy 1 (Lozano)|201603|P.A.S.|01   1   5|HAMBURGUESAS|01   1   5  03  00|NATURALES ( HAMBURGUESAS )|01   1   5  03  00  00|7790360966841|MEDALLON DE CARNE SUPERCONGELADO SWIFT X 4UNI|Roturas|ROT|276.00|GRM|-13.89|-1.00
10168|168 - Jujuy 2 (Lozano)|201603|CARNICERIA|01   2   4|NOVILLO|01   2   4  02  01|CUARTO MOCHO|01   2   4  02  01  01|2302738000009|CARNAZA COMUN NOVILLO X KG|Reclasificacion de Stocks|RDS|1000.00|GRM|256.22|5.70
10168|168 - Jujuy 2 (Lozano)|201605|SECO|01   1   4|CACAO|01   1   4  03  01|EN POLVO (CACAO)|01   1   4  03  01  00|7790150830857|CACAO EN POLVO PLUS CHOCOLINO BOLSA X 180 G|Roturas|ROT|180.00|GRM|-11.37|-1.00
10177|177 - Tucuman 2 (Lozano)|201605|P.A.S.|01   1   5|PRE-PIZZAS|01   1   5  09  04|PRE-PIZZAS COMUNES|01   1   5  09  04  00|7798141710140|PREPIZZA MEDIA MASA DE TOMATE CARREFOUR X 2 UNI|Roturas|ROT|600.00|GRM|-88.09|-4.00
10149|149 - Bariloche|201606|SECO|01   1   4|BASICOS|01   1   4  04  01|BASICOS|01   1   4  04  01  00|7798141717644|COPOS DE MAIZ CARREFOUR BOLSA X 160 GRS.|Roturas|ROT|160.00|GRM|-16.86|-3.00
10177|177 - Tucuman 2 (Lozano)|201605|SECO|01   1   4|DULCES|01   1   4  01  01|GALLETITAS OBLEAS|01   1   4  01  01  03|7891962038094|OBLEA MAXI COOKIES N CREAM BAUDUCCO X 130 GRS|Vencimiento|VTO|130.00|GRM|-55.39|-6.00
10179|179 - Puerto Madryn II|201604|CARNICERIA|01   2   4|OTRAS MARCAS|01   2   4  06  03|TROZADO|01   2   4  06  03  01|2305686000008|MUSLO E/BANDEJA TRES ARROYOS|Reclasificacion de Stocks|RDS|1000.00|GRM|-741.91|-14.70
10180|180 - Rio Grande II|201603|CARNICERIA|01   2   4|NOVILLITO|01   2   4  02  04|CUARTO MOCHO|01   2   4  02  04  01|2308254000004|TORTUGUITA NOVILLITO|Vencimiento|VTO|1000.00|GRM|-265.40|-4.00
10182|182 - Juramento y  Cramer|201604|PLATOS PREPARADOS|01   2   6|PASTAS NO RELLENAS|01   2   6  02  01|NOQUIS|01   2   6  02  01  02|2920146900003|NOQUIS DE SEMOLIN X 500 GRS.|Vencimiento|VTO|500.00|GRM|-37.04|-4.00
10183|183 - Maschwitz|201604|P.A.S.|01   1   5|HUEVOS|01   1   5  02  01|BLANCO|01   1   5  02  01  00|7792335000321|HUEVO BLANCO AVICOPER CARTON X 6 UNI|Roturas|ROT|6.00|UNI|-56.17|-5.00
10184|184 - Sta. Rosa II|201606|PANADERIA|01   2   3|REPOSTERIA SECA|01   2   3  01  00|ESPECIALIDADES DULCES|01   2   3  01  00  05|2655572000002|MADALENAS CON GOTAS DE CHOCOLATE X 250 GRS|Vencimiento|VTO|250.00|GRM|-14.06|-1.00
10187|187 - Escobar|201605|SECO|01   1   4|CALDOS|01   1   4  13  03|SABORIZADORES|01   1   4  13  03  05|7794000595514|SABORIZADOR CARNE HORNO KNORR SOBRE X 25 GRM|Roturas|ROT|25.00|GRS|-14.81|-1.00
10055|055 - Formosa II La Rural|201602|FRUTAS Y VERDURAS|01   2   2|BERRIES|01   2   2  02  04|FRUTILLA|01   2   2  02  04  00|2320016000008|FRUTILLAS A GRANEL X KG|Roturas|ROT|1.00|KGM|-2116.00|-36.00
10189|189 - Av Corrientes|201601|SECO|01   1   4|ALFAJORES|01   1   4  07  04|BLANCOS|01   1   4  07  04  00|7790040006133|ALFAJOR BLANCO TATIN 6 X 33 GRM|Vencimiento|VTO|198.00|GRM|-111.43|-7.00
10189|189 - Av Corrientes|201606|SECO|01   1   4|SNACKS VARIOS|01   1   4  00  05|SNACKS VARIOS|01   1   4  00  05  00|7790310005064|MEZCLA DE SNACKS DETODITO 3D BOLSA X 52 GRS|Vencimiento|VTO|52.00|GRM|-329.11|-32.00
10195|195 - OLAZABAL|201604|PANADERIA|01   2   3|BOLLERIA|01   2   3  00  01|FIGAZA|01   2   3  00  01  07|2301743000004|FIGACITAS X KG|Vencimiento|VTO|1000.00|GRM|-11.78|-0.37
10198|198 - Cabildo Nunez|201601|SECO|01   1   4|BANADOS CHOCOLATE|01   1   4  07  03|OTROS BANADOS|01   1   4  07  03  05|7622300335052|SNACKY BANADOS CHOCOLATE TERRABUSI X 60 GRS|Roturas|ROT|60.00|GRM|-8.85|-1.00
10198|198 - Cabildo Nunez|201604|CARNICERIA|01   2   4|NOVILLITO|01   2   4  02  04|CICLO III (ASADO VACIO)|01   2   4  02  04  11|2302041000000|ASADO NOVILLITO.|Vencimiento|VTO|1000.00|GRM|-1013.67|-12.60
10033|033 - Rosario Sur|201606|P.A.S.|01   1   5|TAPAS DE TARTA|01   1   5  09  01|ESPECIALES|01   1   5  09  01  03|7798159716127|TAPA P/PASCUALINA MEDIA MASA CARREFOUR BSA X 2 UNI|Vencimiento|VTO|400.00|GRM|-198.17|-19.00
10021|021 - Moreno|201605|SECO|01   1   4|CAFE|01   1   4  02  00|MOLIDO|01   1   4  02  00  00|7790170901872|CAFE MOLIDO CLASICO LA MORENITA BOLSA X 250 GRS|Roturas|ROT|250.00|GRM|-26.84|-2.00
10198|198 - Cabildo Nunez|201606|BEBIDAS|01   1   0|AGUAS SABORIZADAS|01   1   0  02  02|BOTELLA PERSONAL|01   1   0  02  02  00|7798062540338|AGUA SABORIZADA PERA S/G VDS LEVITE X 600 CC.|Vencimiento|VTO|600.00|CM3|-9.34|-1.00
10191|191 - Mar del Plata II|201606|SECO|01   1   4|ARROZ|01   1   4  12  00|PARBOIL|01   1   4  12  00  04|7790070411815|ARROZ PARBOIL LUCCHETTI BOLSA X 1 KG|Roturas|ROT|1000.00|GRM|-16.63|-1.00
10202|202 - San Isidro (La Florida)|201603|SECO|01   1   4|YERBAS|01   1   4  02  03|TRADICIONAL|01   1   4  02  03  00|7793132000613|(O) YERBA MATE C/PALO ESQUINA DE LAS FLORES X 500G|Roturas|ROT|500.00|GRM|-44.84|-1.00
