"Format"|"Store code"|"Store"|"Date"|"Section"|"Section Code"|"Item category"|"Item category code"|"Item sub-category"|"Sub Family code"|"Item code"|"Item description"|"Shrinkage code"|"Shrinkage description"|"Shrinkage quantity"|"Weight in kg"|"Shrinkage amount"
SUP - Supermarket|PLP365|MARKET WARSZAWA CONRADA|23-DEC-16|WARZYWA I OWOCE|22|ZIOLA SWIEZE|2217|ZIOLA SWIEZE|22170|5907488400559|SZCZYPIOREK P®CZEK 1 SZTUKA|50||-3||-3.45
SUP - Supermarket|PLP109|MARKET BYDGOSZCZ WYZWOLENIA|29-DEC-16|P.L.S.|15|SERY SALATKOWE, KANAPKOWE|1503|SERY DO SMAROWANIA|15031|5998711723163|SEREK PHILADELPHIA 125g ORIGINAL|50||-4||-12.92
HYP - Hipermarket|PLA082|CARREFOUR LODZ BANDURSKIEGO|24-DEC-16|W®DLINY|20|ZAPIEKANE W CIESCIE|2053|INNE|20539|2004048000006|KANAPKA Z SZYNKA MALA - CARR.|50||-2||-2.66
HYP - Hipermarket|PLA002|CARREFOUR KRAKOW ZAKOPIANKA|24-DEC-16|P.L.S.|15|NABIAL DLA DZIECI|1519|JOGURTY DLA DZIECI|15192|5900643009710|JOG.ZAKRECONY MIX 125g WAN.DANONE|50||-1||-1.49
HYP - Hipermarket|PLA009|CARREFOUR WARSZAWA BEMOWO|24-DEC-16|PIEKARNIA / CIASTKARNIA|23|DROøDøøWKI I P§CZKI|2311|DROøDøøWKI I P§CZKI|23110|2222290000005|PLACEK DROøDøOWY kg|50||-1.01||-6.211
HYP - Hipermarket|PLA090|CARREFOUR OPOLE|24-DEC-16|RYBY|21|SALATKI|2100|SALATKI OW. MORZA|21000|2284230000001|PRZYSMAK GAJOWEGO|10||-.29||-4.495
SUP - Supermarket|PLP718|MARKET SIEMIANOWICE|24-DEC-16|W®DLINY|20|SZYNKI I INNE WEDZONKI|2021|SZYNKA|20210|2280460000002|SZYNKA KONSERWOWA|50||-.16||-2.02
SUP - Supermarket|PLP354|MARKET WARSZAWA URSUS|06-DEC-16|WARZYWA I OWOCE|22|DYNIOWATE,PAPRYKI,POMIDOR|2213|POMIDORY|22132|2212580000006|POMIDOR LUZ|50||-4.51||-19.84
SUP - Supermarket|PLP130|MARKET OTWOCK|14-DEC-16|WARZYWA I OWOCE|22|SALATY CIETE|2221|SALATY CIETE|22210|5907750610150|SALSA MIX OPAK.SZT|50||-4||-17.92
SUP - Supermarket|PLP732|MARKET KRAKOW LEA|29-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI Z DODATKAMI MROøONE|2354|BUùKI Z DODATKAMI MROøONE|23540|2030949200009|BUùKA óNIADANIOWA FINTES 72 g|50||-2||-1.16
HYP - Hipermarket|PLA085|CARREFOUR KRAKOW PLAZA|12-DEC-16|WARZYWA I OWOCE|22|SALATY CIETE|2221|SALATY CIETE|22210|5908312100843|FIT&EASY PARTY|10||-1||-4.4
HYP - Hipermarket|PLA067|CARREFOUR JASTRZEBIE ZDROJ|09-DEC-16|W®DLINY|20|KIELBASY MIESNE|2022|KIELBASA SWOJSKA|20223|2210730000005|KIEùBASA Z W®DZARNI|10||-.1||-1.597
