MOD1;MOD2;Sigla;Regional;Mês;Quantidade coletas aterro;Quantidade coletas compostagem;Quantidade coletas recicalgem;Quantidade coletas sebo e osso;Peso aterro;Peso compostagem;Peso recicláveis;Peso sebo e osso;Porcentagem aterro;Porcentagem compostagem;Porcentagem recicláveis;Porcentagem sebo e osso;Budget recicláveis;Venda SAP recicláveis;Venda parceiros recicláveis;Valor venda seo e osso;Venda PGC;Venda Perecíveis;Venda PGC + Perecíveis;Indicador Aterro;Indicador compostagem;Indicador Reciclagem;Indicador sebo e osso;MTR Aterro;MTR compostagem;MTR Reciclagem;MTR sebo e osso;MTR 4a via faltando;Qualidade das rondas;Numero de eventos rondas;Numero de eventos rondas 0
B. SP CAPITAL43191;CVA43191;CVA;B. SP CAPITAL;01/04/2018;10;0;7;0;9 290;0;4 290;0;68,41%;;31,59%;;340;1 546;1 588;0;1 017;472;1 489;6,24;;2,88;;2;0;2;0;0;85;54;
B. SP INTERIOR43191;CVN43191;CVN;B. SP INTERIOR;01/04/2018;3;9;4;8;9 560;5 400;3 410;891;49,63%;28,04%;17,70%;4,63%;542;1 455;1 380;89;1 712;671;2 383;4,01;8,04;1,43;1,33;3;7;1;0;3;100;0;B. SP INTERIOR43191
B. SP INTERIOR43191;GSC43191;GSC;B. SP INTERIOR;01/04/2018;0;0;0;0;0;0;0;0;;;;;404;0;0;0;1 513;756;2 269;;;;;0;0;0;0;0;97;0;B. SP INTERIOR43191
B. SP INTERIOR43191;GSF43191;GSF;B. SP INTERIOR;01/04/2018;0;0;0;0;0;0;0;0;;;;;464;0;0;0;1 657;874;2 530;;;;;0;0;0;0;0;0;0;B. SP INTERIOR43191
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO OESTE/MANAUS43160;BAN43160;BAN;CENTRO OESTE/MANAUS;01/03/2018;6;0;;;52 590;0;0;0;100,00%;;;;0;0;0;0;5 639;2 003;7 642;6,88;;;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
MINAS43160;BHA43160;BHA;MINAS;01/03/2018;1;9;;;7 150;9 425;5 978;1 122;30,20%;39,81%;25,25%;4,74%;0;1 294;967;34;3 452;1 065;4 517;1,58;8,85;1,32;1,05;0;8;3;2;13;96;0;MINAS43160
MINAS43160;BHC43160;BHC;MINAS;01/03/2018;4;10;;;21 180;14 280;14 484;597;41,91%;28,25%;28,66%;1,18%;0;1 216;1 168;14;4 168;1 388;5 556;3,81;10,28;2,61;0,43;4;7;7;2;20;56;274;
MINAS43160;BHD43160;BHD;MINAS;01/03/2018;3;6;;;10 090;11 395;11 914;1 649;28,79%;32,51%;33,99%;4,71%;0;1 623;1 273;49;3 291;1 098;4 389;2,3;10,38;2,71;1,5;6;1;3;5;15;55;123;
MINAS43160;BHP43160;BHP;MINAS;01/03/2018;2;9;;;1 340;18 985;3 283;578;5,54%;78,50%;13,57%;2,39%;0;1 733;429;17;3 929;1 575;5 504;0,24;12,06;0,6;0,37;1;6;5;4;16;91;40;
MINAS43160;BHS43160;BHS;MINAS;01/03/2018;3;7;;;13 840;16 485;19 047;405;27,80%;33,12%;38,26%;0,81%;0;2 081;2 802;12;5 194;1 862;7 056;1,96;8,85;2,7;0,22;2;7;10;4;23;51;173;
CENTRO OESTE/MANAUS43160;BSB43160;BSB;CENTRO OESTE/MANAUS;01/03/2018;6;0;;;105 360;0;0;0;100,00%;;;;0;0;0;0;8 698;3 812;12 510;8,42;;;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;BST43160;BST;CENTRO OESTE/MANAUS;01/03/2018;4;0;;;65 160;0;0;0;100,00%;;;;0;0;0;0;5 256;1 962;7 218;9,03;;;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
RIO DE JANEIRO43160;CCP43160;CCP;RIO DE JANEIRO;01/03/2018;4;91;;;37 640;1 130;20 910;0;63,07%;1,89%;35,04%;;6 735;9 673;7 940;0;5 344;2 943;8 288;4,54;0,38;2,52;;0;0;0;0;0;75;42;
MINAS43160;ECG43160;ECG;MINAS;01/03/2018;81;0;;;16 200;0;6 470;0;71,46%;;28,54%;;0;0;1 126;0;3 686;1 363;5 048;3,21;;1,28;;0;0;0;0;0;0;0;MINAS43160
MINAS43160;JFO43160;JFO;MINAS;01/03/2018;5;17;;;14 625;12 906;14 278;1 252;33,96%;29,97%;33,16%;2,91%;1 169;1 777;1 924;38;4 686;1 671;6 357;2,3;7,72;2,25;0,75;4;7;5;1;17;0;0;MINAS43160
MINAS43160;UBL43160;UBL;MINAS;01/03/2018;5;0;;;27 150;0;5 500;0;83,15%;;16,85%;;1 024;2 221;33;0;4 314;1 484;5 798;4,68;;0,95;;5;0;2;0;7;98;7;
CENTRO OESTE/MANAUS43160;CMC43160;CMC;CENTRO OESTE/MANAUS;01/03/2018;18;0;;;20 526;0;11 667;0;63,76%;;36,24%;;0;0;0;0;2 168;742;2 910;7,05;;4,01;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;CMS43160;CMS;CENTRO OESTE/MANAUS;01/03/2018;18;0;;;22 658;0;7 850;0;74,27%;;25,73%;;0;0;0;0;2 657;792;3 449;6,57;;2,28;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;MAD43160;MAD;CENTRO OESTE/MANAUS;01/03/2018;7;0;;;36 402;0;9 397;0;79,48%;;20,52%;;0;0;0;0;4 005;1 291;5 295;6,87;;1,77;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;MNS43160;MNS;CENTRO OESTE/MANAUS;01/03/2018;48;0;;;49 290;0;13 721;0;78,22%;;21,78%;;0;0;0;0;4 733;1 735;6 468;7,62;;2,12;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;MPN43160;MPN;CENTRO OESTE/MANAUS;01/03/2018;28;0;;;27 857;0;10 760;0;72,14%;;27,86%;;0;0;0;0;4 237;1 608;5 844;4,77;;1,84;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
NORDESTE43160;FOB43160;FOB;NORDESTE;01/03/2018;14;0;;;31 140;0;5 358;0;85,32%;;14,68%;;0;0;433;0;2 723;1 272;3 995;7,79;;1,34;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;FOR43160;FOR;NORDESTE;01/03/2018;17;0;;;34 389;0;17 709;0;66,01%;;33,99%;;0;0;1 514;0;4 294;2 168;6 462;5,32;;2,74;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;JPB43160;JPB;NORDESTE;01/03/2018;0;0;;;19 400;0;0;0;100,00%;;;;0;0;0;0;3 249;1 588;4 837;4,01;;;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;JPE43160;JPE;NORDESTE;01/03/2018;0;0;;;26 350;0;0;0;100,00%;;;;0;0;0;0;5 866;2 635;8 501;3,1;;;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;NTL43160;NTL;NORDESTE;01/03/2018;0;0;;;49 130;0;0;0;100,00%;;;;3 762;0;0;0;7 184;3 737;10 920;4,5;;;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;NZN43160;NZN;NORDESTE;01/03/2018;0;0;;;19 690;0;0;0;100,00%;;;;4 346;0;0;0;3 781;1 414;5 194;3,79;;;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;RBV43160;RBV;NORDESTE;01/03/2018;0;0;;;23 280;0;0;0;100,00%;;;;0;0;0;0;3 877;1 557;5 434;4,28;;;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;RDM43160;RDM;NORDESTE;01/03/2018;0;0;;;28 280;7 370;0;0;79,33%;20,67%;;;0;0;0;0;5 000;2 689;7 689;3,68;2,74;;;0;0;0;0;0;0;0;NORDESTE43160
NORDESTE43160;REC43160;REC;NORDESTE;01/03/2018;8;0;;;67 141;0;0;0;100,00%;;;;0;0;0;0;10 029;5 368;15 397;4,36;;;;0;0;0;0;0;0;0;NORDESTE43160
RIO DE JANEIRO43160;CAL43160;CAL;RIO DE JANEIRO;01/03/2018;2;296;;;13 520;13 070;7 003;0;40,25%;38,91%;20,85%;;8 036;7 814;2 680;0;2 654;1 382;4 036;3,35;9,46;1,74;;0;0;0;0;0;84;0;RIO DE JANEIRO43160
RIO DE JANEIRO43160;CBR43160;CBR;RIO DE JANEIRO;01/03/2018;4;41;;;26 090;18 330;29 500;0;35,29%;24,80%;39,91%;;2 652;6 214;10 867;0;6 526;2 605;9 132;2,86;7,04;3,23;;0;0;0;0;0;0;0;RIO DE JANEIRO43160
RIO DE JANEIRO43160;DDC43160;DDC;RIO DE JANEIRO;01/03/2018;101;283;;;168;8 679;11 430;0;0,83%;42,80%;56,37%;;0;2 636;4 091;0;3 608;1 611;5 219;0,03;5,39;2,19;;0;0;0;0;0;90;102;
CENTRO OESTE/MANAUS43160;GOP43160;GOP;CENTRO OESTE/MANAUS;01/03/2018;2;0;;;13 870;0;9 010;0;60,62%;;39,38%;;0;0;580;0;3 453;678;4 131;3,36;;2,18;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;GOS43160;GOS;CENTRO OESTE/MANAUS;01/03/2018;12;1;;;49 260;4 850;31 700;0;57,41%;5,65%;36,94%;;0;0;1 992;0;12 909;4 344;17 253;2,86;1,12;1,84;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
CENTRO OESTE/MANAUS43160;GSD43160;GSD;CENTRO OESTE/MANAUS;01/03/2018;20;0;;;41 880;0;20 836;0;66,78%;;33,22%;;0;0;1 288;0;6 859;1 944;8 803;4,76;;2,37;;0;0;0;0;0;0;0;CENTRO OESTE/MANAUS43160
RIO DE JANEIRO43160;RJB43160;RJB;RIO DE JANEIRO;01/03/2018;12;5;;;83 500;17 500;39 610;0;59,38%;12,45%;28,17%;;3 489;36 314;14 670;0;9 292;4 446;13 739;6,08;3,94;2,88;;0;0;0;0;0;68;249;
RIO DE JANEIRO43160;RJD43160;RJD;RIO DE JANEIRO;01/03/2018;3;12;;;29 350;56 740;21 070;0;27,39%;52,95%;19,66%;;4 351;5 406;7 288;0;7 086;3 091;10 177;2,88;18,36;2,07;;0;0;0;0;0;83;0;RIO DE JANEIRO43160
RIO DE JANEIRO43160;RJJ43160;RJJ;RIO DE JANEIRO;01/03/2018;4;5;;;36 870;17 500;21 807;0;48,40%;22,97%;28,63%;;6 826;5 192;7 798;0;7 066;2 990;10 056;3,67;5,85;2,17;;0;0;0;0;0;95;9;
RIO DE JANEIRO43160;RJM43160;RJM;RIO DE JANEIRO;01/03/2018;5;2;;;51 870;7 000;29 410;0;58,76%;7,93%;33,31%;;26 578;5 384;11 443;0;7 743;3 586;11 330;4,58;1,95;2,6;;0;0;0;0;0;82;0;RIO DE JANEIRO43160
RIO DE JANEIRO43160;RJS43160;RJS;RIO DE JANEIRO;01/03/2018;8;3;;;46 200;10 500;28 830;0;54,02%;12,28%;33,71%;;1 714;11 542;9 802;0;8 449;4 199;12 648;3,65;2,5;2,28;;0;0;0;0;0;74;0;RIO DE JANEIRO43160
