Magasin;Nom;Société;Contenance;Passage /Semaine;Nombre container ;Prix D'enlévement;JANV;;FEVR;;MARS;;AVR;;MAI;;JUIN;;JUIL;;AOU;;SEPT;;OCT;;NOV;;DEC;;Nombre container An;Poids moyen ;CUMUL;
;;;;;;;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;;;;
204;GRIMBERGEN;Van Gansewinkel;2,5 m³;2x;1;33,49;15;3105;14;3100;12;2446;12;2682;12;2472;14;2884;6;1236;8;1648;14;2884;13;2678;13;2300;9;2884;142;213,51;4755,58;€
239;WETTEREN;Vanheede;1100 L;3x;4;17,2;45;4455;48;4752;54;5346;47;4653;42;4158;50;4310;55;5445;51;5049;55;5445;55;5420;52;5142;57;5624;611;97,87;10509,2;€
240;BILZEN;Van Gansewinkel;1100 L;1x;6;17,2;26;2874;28;2632;23;2162;22;1948;26;2444;21;1974;27;2538;32;3150;25;2350;20;1880;24;2256;25;2350;299;95,51;5142,8;€
244;BRASSCHAT;Vanheede;1100 L;3x;4;17,2;41;4050;50;4950;50;4950;46;4554;56;5544;56;5544;52;5148;51;5049;55;5445;53;5247;48;4752;55;5369;613;98,86;10543,6;€
249;ETTERBEEK;Vanheede;1100 L;3x;6;17;38;3762;40;3960;41;4050;40;3960;38;3762;44;4356;40;3960;43;4257;35;3465;40;3960;41;4235;42;4059;482;99,14;8194;€
255;BREE;Van Gansewinkel;1100 L;1x;5;17,2;20;1880;20;1880;25;2350;21;1914;24;2256;21;1871;20;1880;25;2350;20;1880;20;1580;25;2060;20;1736;261;90,56;4489,2;€
277;TIELT;Vanheede;1100 L;2x;4;17,2;16;1584;20;1980;17;1683;19;1881;19;1881;18;1782;20;1980;19;1881;20;1980;19;1840;16;1584;19;1889;222;98,85;3818,4;€
284;MOUSCRON;Vanheede;1100 L;3x;7;17,2;23;2277;23;2277;27;2673;25;2475;22;2178;26;2574;27;2673;23;2277;27;2673;19;1850;20;1890;24;2397;286;98,65;4919,2;€
287;TERVUREN ;Van Gansewinkel;1100 L;3x;4;17,2;52;5026;49;4970;43;4042;50;4653;47;4465;47;4465;49;4606;45;4184;48;4674;44;4136;41;3854;50;4786;565;95,33;9718;€
290;WATERLOO CENTRE;Vanheede;1100 L;3x;6;17,2;51;5049;45;4455;56;5544;52;5148;43;4257;45;4455;47;4653;49;4851;51;5049;39;3861;52;5249;64;6289;594;99,09;10216,8;€
298;CITY II;Vanheede;660L;3x;4;17;37;2442;25;1650;26;1716;27;1782;26;1716;24;1584;25;1650;27;1782;30;1980;27;1750;22;2178;28;2798;324;71,07;5508;€
;;;;;;;;110334;;112867;;114768;;115692;;123340;;116788;;112214;;117192;;121438;;114997;;116320;;130396;13688;;€ 244 626,72;
;;;;;;;;KG;;KG;;KG;;KG;;KG;;KG;;KG;;KG;;KG;;KG;;KG;;KG;container/an;;prix/an;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
