site;mois;poids
FRA088;7;9,924
FRA089;7;5,45
FRA090;7;4,322
FRA091;7;4,473
FRA092;7;10,15
FRA093;7;8,82
FRA095;7;7,58
FRA096;7;2,85
FRA097;7;0,64
FRA098;7;16,531
FRA099;7;6,34
FRA100;7;6,85
FRA102;7;9,02
FRA103;7;2,599
FRA104;7;9,75
FRA105;7;3,853
FRA106;7;11,52
FRA107;7;5,219
FRA108;7;3,726
FRA109;7;5,04
FRA110;7;6,8
FRA111;7;6,88
FRA112;7;7,3062
FRA113;7;2,1384
FRA114;7;2,42
FRA115;7;32,745
FRA116;7;14,238
FRA117;7;5,124
FRA118;7;15,36
FRA119;7;12,2958
FRA120;7;1,359
FRA121;7;1,518
FRA186;7;1,81
FRA190;7;4,52
FRA195;7;6,78
FRA197;7;4,19
FRA200;7;4,0608
FRA201;7;16,84
FRA202;7;9,04
FRA203;7;2,4948
FRA204;7;13,263
FRA205;7;10,76
FRA206;7;2,801
FRA207;7;0,6345
FRA208;7;11,665
FRA209;7;2,599
FRA210;7;12,905
FRA211;7;2,192
FRA212;7;2,795
FRA215;7;5,42
FRA217;7;7,998
FRA218;7;2,03
FRA250;7;2,92
FRA251;7;0,79
FRA252;7;3,6
FRA253;7;2,52
FRA254;7;8,71
FRA255;7;7,56
FRA301;7;4,198
FRA302;7;4,58
FRA303;7;0
FRA304;7;3,06
FRA305;7;5,542
FRA306;7;0
FRA307;7;2,573
FRA309;7;0,203
FRA310;7;3,7422
FRA311;7;4,878
FRA312;7;14,46
FRA313;7;2,8512
FRA314;7;1,03
FRA315;7;4,54
FRA316;7;3,7422
FRA317;7;3,519
FRA318;7;2,872
FRA320;7;1,48
FRA321;7;1,4256
FRA322;7;4,143
FRA323;7;4,8114
FRA324;7;2,0304
FRA325;7;4,825
FRA327;7;4,0986
FRA328;7;17,887
FRA329;7;3,62
FRA330;7;0,91
FRA332;7;4,102
FRA333;7;1,16
FRA336;7;4,6332
FRA337;7;6,4152
FRA338;7;4,62
FRA339;7;7,38
FRA340;7;3,38
FRA342;7;0,33
FRA344;7;1,44
FRA345;7;0,345
FRA346;7;2,87
FRA347;7;6,33
FRA349;7;5,032
FRA350;7;2,219
FRA351;7;3,13
FRA352;7;9,78
FRA353;7;2,821
FRA354;7;5,7024
FRA356;7;1,8
FRA357;7;1,9
FRA358;7;11,56
FRA359;7;1,653
FRA360;7;8,1
FRA363;7;10,82
FRA365;7;1,645
FRA366;7;1,4256
FRA400;7;1,6038
FRA401;7;1,01
FRA402;7;6,7
FRA403;7;2,766
FRA404;7;7,128
FRA405;7;1,4256
FRA406;7;1,4256
FRA407;7;1,49
FRA408;7;1,6038
FRA001;8;11,4048
FRA002;8;4,752
FRA003;8;3,865
FRA004;8;7,920000004
FRA005;8;16,206
FRA006;8;7,3062
FRA007;8;10,32
FRA008;8;8,177
FRA009;8;14,35
FRA010;8;4,8114
FRA011;8;8,3754
FRA012;8;12,13
FRA013;8;11,52
FRA014;8;3,2076
FRA015;8;3,879
FRA016;8;13,905
FRA017;8;6,993
FRA018;8;0,555
FRA019;8;4,765
FRA020;8;4,401
FRA021;8;9,92
FRA022;8;6,73
FRA023;8;4,2768
FRA024;8;4,8114
FRA025;8;7,2
FRA026;8;4,73
FRA027;8;3,36
FRA028;8;5,8374
FRA029;8;8,64
FRA030;8;11,207
FRA031;8;10,94
FRA032;8;8,62
FRA033;8;13,0086
FRA034;8;16,314
FRA035;8;20,597
FRA036;8;36,561
FRA037;8;7,3062
FRA038;8;7,669
FRA039;8;4,6332
FRA041;8;8,24
FRA042;8;11,06
FRA043;8;15,916
FRA044;8;18,412
FRA045;8;16,547
FRA046;8;5,1678
FRA047;8;7,393
FRA048;8;3,6
FRA049;8;3,936
FRA050;8;8,4797
FRA051;8;11,52
FRA052;8;2,23
FRA053;8;8,16
FRA054;8;15,172
FRA055;8;5,4
FRA056;8;15,38
FRA057;8;9,556
FRA058;8;5,4
FRA059;8;8,072
FRA060;8;11,756
FRA061;8;9,4446
FRA062;8;9,801
FRA063;8;5,4
FRA064;8;24,541
FRA066;8;8
FRA068;8;7,564
FRA069;8;1,269
FRA070;8;13,854
FRA071;8;6,7
FRA072;8;1,719
FRA073;8;5,158
FRA075;8;6,75
FRA076;8;10,92
FRA078;8;5,58
FRA079;8;3,385
FRA080;8;15,569
FRA082;8;5,04
FRA083;8;4,2768
FRA084;8;2,34
FRA085;8;3,1725
FRA086;8;4,92559
FRA087;8;6,5664
FRA088;8;8,074
FRA089;8;4,04
FRA090;8;5,199
FRA091;8;5,376
FRA092;8;11,844
FRA093;8;3,42
FRA095;8;6,34
FRA096;8;3,222
FRA097;8;0,16
FRA098;8;16,917
FRA099;8;3,54
FRA100;8;11,25
FRA102;8;7,3
FRA103;8;5,257
FRA104;8;6,86
FRA105;8;4,155
FRA106;8;10,913
FRA107;8;9,807
FRA108;8;5,252
FRA109;8;5
FRA110;8;5,78
FRA111;8;6,84977
FRA112;8;6,9498
FRA113;8;3,3858
FRA114;8;13,64
FRA115;8;29,924
FRA116;8;17,169
FRA117;8;4,724
FRA118;8;13,76
FRA119;8;14,0778
FRA120;8;1,596
FRA121;8;2,546
FRA186;8;0,7
FRA190;8;5,65
FRA195;8;3,78
FRA197;8;3,738
FRA200;8;5,2029
FRA201;8;16,699
FRA202;8;8,83
FRA203;8;2,673
FRA204;8;15,849
FRA205;8;9,03
FRA206;8;2,668
FRA207;8;0,7614
FRA208;8;10,546
FRA209;8;4,785
FRA210;8;14,977
FRA211;8;1,813
FRA212;8;4,404
FRA215;8;5,58
FRA217;8;7,567
FRA218;8;2,11
FRA250;8;4,09027
FRA251;8;1,92915
FRA252;8;5,399999995
FRA253;8;3,78
FRA254;8;9,9
FRA255;8;7,560000006
FRA301;8;4,585
FRA302;8;7,93
FRA304;8;5,007
FRA305;8;6,742
FRA307;8;4,644
FRA310;8;2,8512
FRA311;8;6,449
FRA312;8;16,54
FRA313;8;3,564
FRA314;8;1,62
FRA315;8;3,78
FRA316;8;3,564
FRA317;8;2,795
FRA318;8;3,951
FRA320;8;2,71
FRA321;8;1,2474
FRA322;8;3,481
FRA323;8;4,0986
FRA324;8;1,1421
FRA325;8;4,542
FRA327;8;5,1678
FRA328;8;18,107
FRA329;8;2,34
FRA330;8;5,02
FRA332;8;4,407
FRA333;8;2,31
FRA335;8;10,24
FRA336;8;4,6332
FRA337;8;5,5242
FRA338;8;2,8
FRA339;8;8,96
FRA340;8;4,2
FRA342;8;3,42
FRA344;8;1,02
FRA345;8;1,246
FRA346;8;5,31
FRA347;8;7,718
FRA349;8;4,104
FRA350;8;2,193
FRA351;8;10,53
FRA352;8;13,24
FRA353;8;3,839
FRA354;8;4,8114
FRA356;8;3,3
FRA357;8;3,28
FRA358;8;8,44
FRA360;8;5,12
FRA363;8;6,34
FRA365;8;1,447
FRA366;8;1,9602
FRA400;8;2,1384
FRA401;8;1,22
FRA402;8;4,797
FRA403;8;4,253
FRA404;8;6,4044
FRA405;8;1,2474
FRA406;8;1,2474
FRA407;8;1,41
FRA408;8;1,6038
FRA001;9;11,9394
FRA002;9;4,124
FRA003;9;5,807
FRA004;9;4,499999998
FRA005;9;14,916
FRA006;9;8,7318
FRA007;9;9,85
FRA008;9;8,863
FRA009;9;16,418
FRA010;9;4,8114
FRA011;9;7,128
FRA012;9;10,52
FRA013;9;8,64
FRA014;9;2,4948
FRA015;9;6,2
FRA016;9;11,952
FRA017;9;8,289
FRA018;9;0,214
FRA019;9;3,536
FRA020;9;8,973
FRA021;9;10,782
FRA022;9;6,49
FRA023;9;5,5242
FRA024;9;5,1678
FRA025;9;8,1
FRA026;9;8,38
FRA027;9;3,6
FRA028;9;6,345
FRA029;9;38,88
FRA030;9;9,152
FRA031;9;16,38
FRA032;9;8,6
FRA033;9;14,0778
FRA034;9;14,118
FRA035;9;21,453
FRA036;9;43,876
FRA037;9;6,4152
FRA038;9;5,796
FRA039;9;5,1678
FRA041;9;8,55
FRA042;9;32,4
FRA043;9;15,493
FRA044;9;13,35
FRA045;9;11,92
FRA046;9;5,1678
FRA047;9;6,19
FRA048;9;7,56
FRA049;9;3,035
FRA050;9;8,3
FRA051;9;10,26
FRA052;9;1,957
FRA053;9;8,16
FRA054;9;19,367
FRA055;9;5,58
FRA056;9;11,08
FRA057;9;9,367
FRA058;9;12,45
FRA059;9;5,523
FRA060;9;7,781
FRA061;9;10,5138
FRA062;9;8,1972
FRA063;9;12,96
FRA064;9;23,529
FRA066;9;8,1
FRA068;9;9,225
FRA069;9;0,8883
FRA070;9;13,75
FRA071;9;8,216
FRA072;9;1,526
FRA073;9;4,967
FRA075;9;7,45
FRA076;9;7,36
FRA078;9;4,45
FRA079;9;2,163
FRA080;9;15,797
FRA082;9;8,1
FRA083;9;2,3166
FRA084;9;3,78
FRA085;9;4,1877
FRA086;9;5,26
FRA087;9;9,9495
FRA088;9;7,855
FRA089;9;7,02
FRA090;9;6,351
FRA091;9;3,802
FRA092;9;11,962
FRA093;9;11,34
FRA095;9;6,89
FRA096;9;2,663
FRA097;9;0,26
FRA098;9;15,482
FRA099;9;3,94
FRA100;9;7,6
FRA102;9;1,58
FRA103;9;2,885
FRA104;9;7,48
FRA105;9;3,571
FRA106;9;9,047
FRA107;9;6,701
FRA108;9;4,529
FRA109;9;5,26
FRA110;9;6,68
FRA111;9;9,31852
FRA112;9;5,8806
FRA113;9;3,3858
FRA114;9;15,45
FRA115;9;36,08
FRA116;9;16,324
FRA117;9;4,638
FRA118;9;17,82
FRA119;9;14,4342
FRA120;9;1,486
FRA121;9;1,969
FRA186;9;0,27
FRA190;9;4,98
FRA195;9;15,84
FRA197;9;3,84
FRA200;9;5,3298
FRA201;9;17,386
FRA202;9;7,75
FRA203;9;2,3166
FRA204;9;13,868
FRA205;9;11,48
FRA206;9;3,659
FRA207;9;0,8883
FRA208;9;8,715
FRA209;9;5,866
FRA210;9;14,562
FRA211;9;2,366
FRA212;9;4,192
FRA215;9;19,44
FRA217;9;7,814
FRA218;9;3,88
FRA250;9;3,65785
FRA251;9;1,37
FRA252;9;3,239999997
FRA253;9;2,7
FRA254;9;5,580000006
FRA255;9;5,040000004
FRA301;9;4,864
FRA302;9;5,68
FRA304;9;6,467
FRA305;9;5,443
FRA307;9;5,942
FRA310;9;3,7422
FRA311;9;8,14
FRA312;9;17,62
FRA313;9;1,782
FRA314;9;2,11
FRA315;9;7,2
FRA316;9;4,2768
FRA317;9;3,105
FRA318;9;4,521
FRA320;9;2,42
FRA321;9;0,7128
FRA322;9;4,099
FRA323;9;4,2768
FRA324;9;1,3959
FRA325;9;3,89
FRA327;9;6,0588
FRA328;9;21,71
FRA329;9;4,38
FRA330;9;12,6
FRA332;9;4,475
FRA333;9;1,04
FRA334;9;4,556
FRA335;9;9,36
FRA336;9;4,9896
FRA337;9;5,346
FRA338;9;3,24
FRA339;9;8,98
FRA340;9;6,36
FRA342;9;10,08
FRA344;9;2,38
FRA345;9;3,71
FRA346;9;4,62
FRA347;9;5,408
FRA349;9;5,372
FRA350;9;2,378
FRA351;9;4,15
FRA352;9;9,88
FRA353;9;2,946
FRA354;9;4,2768
FRA356;9;4,12
FRA357;9;2,7
FRA358;9;9,4
FRA360;9;9
FRA363;9;14,41
FRA365;9;2,49
FRA366;9;1,6038
FRA400;9;1,2474
FRA401;9;1,94
FRA402;9;5,429
FRA403;9;2,774
FRA404;9;6,6582
FRA405;9;1,4256
FRA406;9;1,782
FRA407;9;1,67
FRA408;9;1,4256
FRA001;10;10,1574
FRA002;10;4,234
FRA003;10;4,822
FRA004;10;9,900000006
FRA005;10;11,139
FRA006;10;8,1972
FRA007;10;6,52
FRA008;10;6,394
FRA009;10;8,95
FRA010;10;4,455
FRA011;10;9,0882
FRA012;10;8,88
FRA013;10;8,375
FRA014;10;2,4948
FRA015;10;4,402
FRA016;10;11,937
FRA017;10;5,8995
FRA019;10;3,2
FRA020;10;5,236
FRA021;10;6,982
FRA022;10;7,3
FRA023;10;5,346
FRA024;10;4,0986
FRA025;10;13,544
FRA026;10;7,92
FRA027;10;4,32
FRA028;10;6,2181
FRA029;10;19,958
FRA030;10;7,278
FRA031;10;16,575
FRA032;10;6,44
FRA033;10;12,3
FRA034;10;14,424
FRA035;10;18,996
FRA036;10;33,374
FRA037;10;6,5934
FRA038;10;4,998
FRA039;10;4,6332
FRA040;10;1,867
FRA041;10;8,98
FRA042;10;11,227
FRA043;10;12,925
FRA044;10;11,39
FRA045;10;9,694
FRA046;10;3,9204
FRA047;10;4,679
FRA048;10;6,593
FRA049;10;2,504
FRA051;10;8,94
FRA052;10;1,101
FRA053;10;6,48
FRA054;10;14,627
FRA055;10;3,96
FRA056;10;9,76
FRA057;10;8,118
FRA058;10;11,18
FRA059;10;5,01
FRA060;10;7,694
FRA061;10;9,0882
FRA062;10;9,0882
FRA063;10;16,038
FRA064;10;20,357
FRA066;10;5,05
FRA068;10;8,12
FRA069;10;0,1269
FRA070;10;12,138
FRA071;10;4,378
FRA072;10;2,501
FRA073;10;3,682
FRA075;10;7,54
FRA076;10;7,52
FRA078;10;3,34
FRA079;10;1,032
FRA080;10;9,583
FRA082;10;7,485
FRA083;10;2,4948
FRA084;10;4,811
FRA085;10;4,455
FRA086;10;5,96
FRA087;10;7,26
FRA088;10;8,506
FRA089;10;7,68
FRA090;10;3,464
FRA091;10;4,167
FRA092;10;10,99
FRA093;10;6,772
FRA095;10;9,63
FRA096;10;4,331
FRA097;10;0,46
FRA098;10;11,254
FRA099;10;2,44
FRA100;10;6,52
FRA102;10;2,88
FRA103;10;4,54
FRA104;10;7,6
FRA105;10;3,756
FRA106;10;8,262
FRA107;10;4,89
FRA108;10;4,482
FRA109;10;3,88
FRA110;10;4,7
FRA112;10;6,0588
FRA113;10;2,1384
FRA114;10;11,04
FRA115;10;26,509
FRA116;10;13,725
FRA117;10;4,339
FRA118;10;16,038
FRA119;10;13,5432
FRA120;10;0,964
FRA121;10;1,986
FRA186;10;0,52
FRA190;10;3,64
FRA195;10;13,543
FRA197;10;2,471
FRA200;10;4,8222
FRA201;10;14,086
FRA202;10;5,9
FRA203;10;2,8512
FRA204;10;12,027
FRA205;10;8,11
FRA206;10;2,403
FRA207;10;0,3807
FRA208;10;10,56
FRA209;10;3,902
FRA210;10;21,444
FRA211;10;1,866
FRA212;10;2,925
FRA215;10;11,403
FRA217;10;6,558
FRA218;10;3,16
FRA252;10;4,139999994
FRA253;10;4,32
FRA254;10;9,540000002
FRA255;10;6,839999998
FRA301;10;4,501
FRA302;10;7,02
FRA304;10;2,663
FRA305;10;4,81
FRA307;10;2,98
FRA310;10;3,9204
FRA311;10;7,662
FRA312;10;12,56
FRA313;10;1,2474
FRA314;10;1,98
FRA315;10;6,772
FRA316;10;4,455
FRA317;10;2,75
FRA318;10;3,541
FRA320;10;3,31
FRA321;10;0,891
FRA322;10;2,632
FRA323;10;4,0986
FRA324;10;1,3959
FRA325;10;3,291
FRA327;10;6,7716
FRA328;10;16,147
FRA329;10;3,56
FRA330;10;6,416
FRA332;10;2,728
FRA334;10;2,986
FRA335;10;10,84
FRA336;10;4,8114
FRA337;10;5,5242
FRA338;10;2,85
FRA339;10;8,64
FRA340;10;4,54
FRA342;10;6,949
FRA344;10;0,4
FRA345;10;2,621
FRA346;10;4,9
FRA347;10;4,274
FRA349;10;3,605
FRA350;10;2,36
FRA351;10;3,66
FRA352;10;11,27
FRA353;10;4,016
FRA354;10;2,52
FRA356;10;3,3
FRA357;10;2,46
FRA358;10;10,2
FRA359;10;2,161
FRA360;10;4,811
FRA363;10;3,1
FRA365;10;2,062
FRA366;10;2,1384
FRA400;10;1,4256
FRA401;10;3,11
FRA402;10;4,543
FRA403;10;2,572
FRA404;10;6,939
FRA405;10;1,782
FRA406;10;1,4256
FRA407;10;1,83
FRA408;10;1,9602
FRA001;11;7,6626
FRA002;11;6,195
FRA003;11;6,144
FRA004;11;6,48
FRA005;11;11,751
FRA006;11;8,7318
FRA007;11;8,99
FRA008;11;6,827
FRA009;11;14,404
FRA010;11;5,1678
FRA011;11;8,7318
FRA012;11;8,2
FRA013;11;8,3754
FRA014;11;3,2076
FRA015;11;4,377
FRA016;11;9,969
FRA017;11;8,4429
FRA018;11;0,153
FRA019;11;2,336
FRA020;11;4,543
FRA021;11;7,532
FRA022;11;8,46
FRA023;11;7,3062
FRA024;11;4,9896
FRA025;11;12,6522
FRA026;11;6,78
FRA027;11;4,08
FRA028;11;5,3298
FRA029;11;17,82
FRA030;11;8,038
FRA031;11;12,6522
FRA032;11;8,36
FRA033;11;11,0484
FRA034;11;18,139
FRA035;11;19,873
FRA036;11;35,509
FRA037;11;6,0588
FRA038;11;6,37
FRA039;11;3,7422
FRA040;11;3,342
FRA041;11;8,83
FRA042;11;12,1176
FRA043;11;14,245
FRA044;11;16,153
FRA045;11;12,534
FRA046;11;5,1678
FRA047;11;6,071
FRA048;11;5,5242
FRA049;11;2,752
FRA051;11;7,9
FRA052;11;1,89
FRA053;11;5,52
FRA054;11;16,288
FRA055;11;5,04
FRA056;11;12,34
FRA057;11;10,03
FRA058;11;9,14
FRA059;11;6,432
FRA060;11;8,261
FRA061;11;7,6626
FRA062;11;7,4844
FRA063;11;14,6124
FRA064;11;20,26
FRA066;11;9,13
FRA068;11;7,525
FRA070;11;12,289
FRA071;11;5,605
FRA072;11;1,799
FRA073;11;6,001
FRA074;11;0,974
FRA075;11;8,47
FRA076;11;6,65
FRA077;11;0,41
FRA078;11;3,43
FRA079;11;2,237
FRA080;11;7,87
FRA082;11;5,5242
FRA083;11;1,9602
FRA084;11;5,1678
FRA085;11;3,8944
FRA086;11;14,46
FRA087;11;6,9984
FRA088;11;8,447
FRA089;11;7
FRA090;11;5,134
FRA091;11;3,461
FRA092;11;11,643
FRA093;11;6,4152
FRA095;11;8,76
FRA096;11;3,458
FRA097;11;0,82
FRA098;11;15,34
FRA099;11;2,6
FRA100;11;9,27
FRA102;11;3,24
FRA103;11;5,254
FRA104;11;6,3
FRA105;11;3,797
FRA106;11;8,964
FRA107;11;2,947
FRA108;11;4,93
FRA109;11;4,36
FRA110;11;5,64
FRA112;11;5,346
FRA113;11;3,0294
FRA114;11;9,56
FRA115;11;23,2
FRA116;11;12,386
FRA117;11;3,561
FRA118;11;21,9186
FRA119;11;10,692
FRA120;11;1,43
FRA121;11;1,563
FRA186;11;0
FRA190;11;5,02
FRA195;11;9,0882
FRA197;11;2,693
FRA200;11;4,6953
FRA201;11;15,654
FRA202;11;7,794
FRA203;11;2,4948
FRA204;11;11,743
FRA205;11;11,614
FRA206;11;2,194
FRA207;11;0,6345
FRA208;11;8,985
FRA209;11;3,309
FRA210;11;10,787
FRA211;11;2,626
FRA212;11;4,583
FRA215;11;6,4152
FRA217;11;6,189
FRA218;11;1,99
FRA252;11;4,86
FRA253;11;3,6
FRA254;11;8,64
FRA255;11;5,4
FRA301;11;5,298
FRA302;11;6,21
FRA303;11;0,5076
FRA304;11;3,901
FRA305;11;4,724
FRA306;11;0
FRA307;11;2,738
FRA310;11;3,7422
FRA311;11;7,756
FRA312;11;14,42
FRA313;11;1,782
FRA314;11;2,04
FRA315;11;3,0294
FRA316;11;3,2076
FRA317;11;2,774
FRA318;11;4,822
FRA320;11;3,97
FRA321;11;0,7128
FRA322;11;3,724
FRA323;11;5,8806
FRA324;11;1,5228
FRA325;11;3,94
FRA327;11;6,7716
FRA328;11;16,878
FRA329;11;2,02
FRA330;11;3,7422
FRA331;11;3,198
FRA332;11;1,911
FRA334;11;2,807
FRA335;11;9,02
FRA336;11;5,5242
FRA337;11;4,455
FRA338;11;5,346
FRA339;11;5,39
FRA340;11;4,5
FRA342;11;6,4152
FRA344;11;0,92
FRA345;11;1,748
FRA346;11;6,2
FRA347;11;6,358
FRA349;11;3,415
FRA350;11;2,181
FRA351;11;3,61
FRA352;11;13,6
FRA353;11;3,387
FRA354;11;2,8512
FRA356;11;3,44
FRA357;11;2,58
FRA358;11;8,72
FRA359;11;2,955
FRA360;11;5,1678
FRA363;11;5,54
FRA365;11;2,929
FRA366;11;1,6038
FRA400;11;1,4256
FRA401;11;0,98
FRA402;11;4,151
FRA403;11;2,703
FRA404;11;7,8543
FRA405;11;1,2474
FRA406;11;1,4256
FRA407;11;1,97
FRA408;11;1,6038
FRA001;12;11,2266
FRA002;12;5,887
FRA003;12;6,865
FRA004;12;5,4
FRA005;12;14,73
FRA006;12;7,4844
FRA007;12;8,74
FRA008;12;7,454
FRA009;12;13,379
FRA010;12;4,8114
FRA011;12;8,7318
FRA012;12;9,8
FRA013;12;6,7716
FRA014;12;3,2076
FRA015;12;6,423
FRA016;12;15,27
FRA017;12;8,5698
FRA018;12;0,331
FRA019;12;3,531
FRA020;12;6,563
FRA021;12;9,06
FRA022;12;8,06
FRA023;12;8,019
FRA024;12;4,9896
FRA025;12;13,365
FRA026;12;11,54
FRA027;12;6
FRA028;12;5,7105
FRA029;12;14,0778
FRA030;12;7,884
FRA031;12;12,474
FRA032;12;6,54
FRA033;12;11,583
FRA034;12;12,85
FRA035;12;20,681
FRA036;12;46,646
FRA037;12;5,5242
FRA038;12;6,856
FRA039;12;4,9896
FRA040;12;2,044
FRA041;12;10,59
FRA042;12;15,147
FRA043;12;15,64
FRA044;12;20,52
FRA045;12;14,963
FRA046;12;4,8114
FRA047;12;6,058
FRA048;12;5,7024
FRA049;12;3,388
FRA051;12;9,28
FRA052;12;1,677
FRA053;12;7,68
FRA054;12;18,388
FRA055;12;5,76
FRA056;12;11,36
FRA057;12;8,053
FRA058;12;8,6
FRA059;12;6,082
FRA060;12;6,693
FRA061;12;9,4446
FRA062;12;8,5536
FRA063;12;12,8304
FRA064;12;20,905
FRA066;12;2,99
FRA068;12;9,132
FRA069;12;0,2538
FRA070;12;17,82
FRA071;12;6,746
FRA072;12;1,917
FRA073;12;4,412
FRA074;12;5,049
FRA075;12;7,48
FRA076;12;8,32
FRA078;12;4,97
FRA079;12;2,803
FRA080;12;10,854
FRA082;12;4,2768
FRA083;12;3,564
FRA084;12;5,7024
FRA085;12;4,1472
FRA086;12;15,43
FRA087;12;10,3815
FRA088;12;11,197
FRA089;12;5,83
FRA090;12;6,017
FRA091;12;3,26
FRA092;12;10,741
FRA093;12;6,4152
FRA095;12;3,02
FRA096;12;3,118
FRA097;12;0,58
FRA098;12;15,021
FRA099;12;3,92
FRA100;12;7,53
FRA102;12;5,88
FRA103;12;4,085
FRA104;12;7,32
FRA105;12;3,521
FRA106;12;8,423
FRA108;12;4,775
FRA109;12;5,12
FRA110;12;5,64
FRA112;12;4,0986
FRA113;12;3,564
FRA114;12;9,03
FRA115;12;30,616
FRA116;12;11,758
FRA117;12;4,136
FRA118;12;21,384
FRA119;12;13,5432
FRA120;12;1,789
FRA121;12;1,561
FRA186;12;0,23
FRA190;12;4,2
FRA195;12;11,7612
FRA197;12;4,561
FRA200;12;5,7105
FRA201;12;17,913
FRA202;12;6,97
FRA203;12;3,2076
FRA204;12;15,024
FRA205;12;9,52
FRA206;12;3,664
FRA207;12;0,8883
FRA208;12;10,286
FRA209;12;4,807
FRA210;12;15,919
FRA211;12;3,71
FRA212;12;3,409
FRA215;12;10,8702
FRA217;12;7,265
FRA218;12;2,85
FRA252;12;5,04
FRA253;12;3,96
FRA254;12;8,28
FRA255;12;6,48
FRA301;12;3,812
FRA302;12;6,25
FRA304;12;3,248
FRA305;12;5,069
FRA306;12;0,24
FRA307;12;4,487
FRA309;12;0,387
FRA310;12;4,9896
FRA311;12;8,086
FRA312;12;18,54
FRA313;12;1,2474
FRA314;12;1,64
FRA315;12;5,1678
FRA316;12;3,9204
FRA317;12;2,518
FRA318;12;4,829
FRA320;12;3,08
FRA321;12;0,7128
FRA322;12;4,391
FRA323;12;6,7716
FRA324;12;1,7766
FRA325;12;3,004
FRA327;12;6,4152
FRA328;12;16,977
FRA329;12;3,4
FRA330;12;5,346
FRA331;12;3,747
FRA332;12;3,886
FRA333;12;0,71
FRA334;12;3,75
FRA336;12;4,9896
FRA337;12;6,0588
FRA338;12;5,1678
FRA339;12;5,42
FRA340;12;4,34
FRA342;12;1,9602
FRA344;12;1,72
FRA345;12;2,368
FRA346;12;5,23
FRA347;12;3,628
FRA349;12;4,502
FRA350;12;2,629
FRA351;12;3,47
FRA352;12;10,06
FRA353;12;2,854
FRA354;12;4,0986
FRA356;12;5,06
FRA357;12;2,71
FRA358;12;19,66
FRA359;12;3,917
FRA360;12;5,1678
FRA363;12;4,82
FRA365;12;1,711
FRA366;12;1,9602
FRA400;12;1,4256
FRA401;12;2,03
FRA402;12;5,841
FRA403;12;2,712
FRA404;12;7,8543
FRA405;12;1,4256
FRA406;12;1,4256
FRA407;12;1,86
FRA408;12;1,782
FRPA01;1;5,3
FRPA13;1;9,139
FRPA36;1;2,31
FRPA69;1;5,04
FRPA94;1;4,963
FRPACX;1;3,15
FRPADB;1;2,838
FRPADI;1;2,035
FRPAEA;1;3,627
FRPAEU;1;1,331
FRPAFS;1;0,885
FRPAFT;1;1,946
FRPAFW;1;1,042
FRPAFX;1;1,2
FRPAGC;1;2,37
FRPAGD;1;0,4
FRPAGF;1;1,535
FRPAGG;1;2,789
FRPAH3;1;1,429
FRPAHP;1;0,66
FRPAI3;1;2,712
FRPAIP;1;2,4
FRPAIR;1;3,96
FRPAIX;1;1,296
FRPAIZ;1;3,19
FRPAJW;1;0,959
FRPAKC;1;3,82
FRPAKF;1;2,794
FRPAKG;1;0,455
FRPAKH;1;3,35
FRPAKX;1;2,455
FRPAM2;1;2,64
FRPAM3;1;2,186
FRPAM7;1;1,477
FRPAME;1;1,9
FRPAMK;1;5,883
FRPAN6;1;2,834
FRPAP1;1;6,15
FRPASF;1;0,977
FRPAWI;1;1,628
FRPB30;1;2,48
FRPB66;1;1,897
FRPBB3;1;1,6
FRPBB4;1;6,827
FRPBB6;1;0,551
FRPC23;1;2,443
FRPC48;1;5,545
FRPC83;1;0,834
FRPCC1;1;1,429
FRPCFI;1;2,233
FRPCGD;1;4,125
FRPCGE;1;3,3
FRPCGF;1;3,3
FRPCGP;1;4,785
FRPCIP;1;2,862
FRPD28;1;2,644
FRPD45;1;5,1
FRPD55;1;1,642
FRPD56;1;3,283
FRPD83;1;2,992
FRPD84;1;2,159
FRPD89;1;5,591
FRPD93;1;6,335
FRPD98;1;1,284
FRPE01;1;4,181
FRPE15;1;1,114
FRPE16;1;2,066
FRPE18;1;2,96
FRPE19;1;1,776
FRPE20;1;4,374
FRPE26;1;1,451
FRPE27;1;3,357
FRPE28;1;0,28
FRPE35;1;1,054
FRPE36;1;3,286
FRPE38;1;0,342
FRPE47;1;3,186
FRPE52;1;3,215
FRPE53;1;4,632
FRPE56;1;3,95
FRPE64;1;0,495
FRPE70;1;2,588
FRPE74;1;3,703
FRPE75;1;11,071
FRPE78;1;6,284
FRPE89;1;8,87
FRPE90;1;2,642
FRPE95;1;3,076
FRPE96;1;1,166
FRPE98;1;1,118
FRPF03;1;1,987
FRPF04;1;1,51
FRPF08;1;2,56
FRPF12;1;1,54
FRPF13;1;3,948
FRPF19;1;2,567
FRPF24;1;1,325
FRPF26;1;4,167
FRPF30;1;4,155
FRPF49;1;1,43
FRPF50;1;4,98
FRPF58;1;2,47
FRPF59;1;2,461
FRPF64;1;2,307
FRPF67;1;4,091
FRPF69;1;1,695
FRPF70;1;3,732
FRPF71;1;2,055
FRPF72;1;0,4
FRPF74;1;3,59
FRPF79;1;3,47
FRPF80;1;3,07
FRPF81;1;1
FRPF82;1;2,953
FRPF84;1;2,287
FRPF85;1;2,958
FRPF89;1;3,634
FRPG01;1;1,98
FRPG02;1;2,167
FRPG13;1;3,7
FRPG15;1;1,962
FRPG17;1;0,66
FRPG23;1;1,08
FRPG25;1;0,639
