site;mois;poids
FRA066;2;1,05
FRA068;2;5,274
FRA070;2;11,75
FRA071;2;4,564
FRA072;2;1,148
FRA073;2;7,907
FRA075;2;3,812
FRA076;2;4,096
FRA078;2;3,322
FRA079;2;2,24
FRA080;2;10,006
FRA082;2;8,82
FRA084;2;7,57
FRA085;2;2,15
FRA086;2;0,9
FRA087;2;4,597
FRA088;2;6,838
FRA089;2;4,54
FRA090;2;2,97
FRA091;2;4,62
FRA092;2;13,14
FRA093;2;6,054
FRA095;2;5,83
FRA096;2;3,764
FRA097;2;2,313
FRA098;2;13,857
FRA099;2;4,38
FRA100;2;7,63
FRA102;2;8,1
FRA103;2;2,406
FRA104;2;10,445
FRA105;2;6,704
FRA106;2;8,31
FRA107;2;6,673
FRA108;2;5,157
FRA109;2;3,603
FRA110;2;7,351
FRA111;2;11,421
FRA112;2;9,425
FRA113;2;2,486
FRA115;2;23,559
FRA116;2;14,219
FRA117;2;2,965
FRA118;2;5,04
FRA119;2;12
FRA120;2;1,266
FRA121;2;1,575
FRA190;2;3,65
FRA195;2;5,93
FRA197;2;2,832
FRA200;2;4,6
FRA201;2;13,101
FRA202;2;9,55
FRA203;2;7,365
FRA204;2;11,181
FRA205;2;9,85
FRA206;2;2,936
FRA207;2;1,034
FRA208;2;6,39
FRA209;2;1,79
FRA210;2;9,109
FRA211;2;1,867
FRA212;2;4,749
FRA215;2;6,915
FRA217;2;4,255
FRA218;2;3,64
FRA250;2;4,64
FRA251;2;1,46
FRA252;2;4,29
FRA253;2;3,96
FRA254;2;5,445
FRA255;2;5,28
FRA301;2;4,51
FRA302;2;7,85
FRA303;2;0,099
FRA304;2;4,939
FRA305;2;4,723
FRA307;2;2,305
FRA309;2;1,563
FRA310;2;3,227
FRA311;2;9,241
FRA312;2;15
FRA313;2;1,348
FRA314;2;1,34
FRA315;2;6,284
FRA316;2;2,741
FRA317;2;2,475
FRA318;2;4,128
FRA319;2;0,442
FRA320;2;2,45
FRA321;2;1,585
FRA322;2;3,265
FRA323;2;1,2
FRA324;2;6,341
FRA325;2;1,171
FRA327;2;1,75
FRA328;2;19,091
FRA329;2;2,24
FRA330;2;5,537
FRA331;2;7,538
FRA332;2;2,32
FRA333;2;2,32
FRA336;2;3,328
FRA337;2;5,15
FRA338;2;2,17
FRA339;2;0
FRA340;2;3,128
FRA342;2;4,214
FRA344;2;2,188
FRA345;2;4,302
FRA346;2;3,21
FRA347;2;6,206
FRA349;2;3,63
FRA350;2;2,839
FRA351;2;4,871
FRA352;2;9,25
FRA353;2;1,773
FRA354;2;3,135
FRA356;2;4,631
FRA357;2;3,578
FRA358;2;12,46
FRA359;2;3,398
FRA360;2;3,49
FRA363;2;4,98
FRA365;2;1,815
