;SUEZ;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;dec-16;
Market;Winkel / Magasin;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;
613;613 EVERE           ;8 396;6 975;8 435;6 843;7 526;7 729;8 885;5 889;5 686;5 316;5 205;4 800;
615;615 AUDERGHEM    ;27 590;16 523;20 885;20 172;16 010;12 476;21 084;14 560;18 545;13 247;13 232;16 830;
616;616 BRUGGE ST-KRUIS ;5 398;4 459;5 730;5 032;6 278;5 649;5 773;4 710;5 071;4 664;5 069;6 205;
617;617 HASSELT         ;4 719;5 752;4 588;3 891;4 676;4 733;5 410;5 101;5 498;3 405;2 940;3 520;
619;619 TIENEN ;1 760;2 080;3 114;2 118;1 908;1 550;1 950;2 182;1 504;2 766;2 446;5 555;
620;620 FLERON       ;6 402;5 988;5 753;3 221;4 816;5 249;4 251;3 959;3 131;2 801;2 382;3 716;
624;624 WEPION       ;3 410;2 386;2 403;1 835;2 895;4 385;2 335;3 078;7 278;2 935;3 786;4 112;
625;625 ST DENIJS WESTREM;9 643;7 425;7 584;7 573;8 752;10 931;8 690;9 162;10 289;6 235;6 845;4 886;
626;626 SOIGNIES     ;4 868;3 338;3 521;4 070;4 263;5 192;4 681;5 576;4 039;4 635;4 428;5 171;
631;631 SCHOTEN         ;19 158;10 302;1 805;19 270;11 426;13 463;20 576;18 106;18 939;12 398;12 941;13 707;
632;632 BERCHEM ST AGATHA;4 780;4 640;5 120;4 040;5 500;5 980;5 425;5 380;6 010;3 800;4 460;5 400;
633;633 BIERGES      ;6 135;3 133;4 186;4 292;4 032;5 108;6 433;4 332;5 063;5 563;5 631;6 603;
634;634 DIEST           ;3 895;4 669;4 344;3 122;4 259;3 393;4 161;4 424;4 877;3 735;3 820;4 740;
637;637 TURNHOUT        ;6 873;1 834;720;6 215;4 119;9 922;8 138;6 181;11 538;4 851;4 401;9 617;
639;639 ANS          ;5 012;3 136;3 712;5 032;4 410;4 907;6 280;5 003;6 068;5 258;5 200;6 793;
